Partido,Temporada,Jornada,Local,Visitante,Goles Local,Goles Visitante,Fecha,Timestamp
1,1940-41,1,Atletico Aviacion,Celta de Vigo,5,4,29/09/1940,-923241600.0
2,1940-41,1,Espanyol,Real Oviedo,5,0,29/09/1940,-923241600.0
3,1940-41,1,Hercules,Murcia,4,0,29/09/1940,-923241600.0
4,1940-41,1,Sevilla,Barcelona,11,1,29/09/1940,-923241600.0
5,1940-41,1,Valencia,Athletic Club,2,2,29/09/1940,-923241600.0
6,1940-41,1,Real Zaragoza,Real Madrid,1,1,29/09/1940,-923241600.0
7,1940-41,2,Athletic Club,Real Zaragoza,0,0,06/10/1940,-922636800.0
8,1940-41,2,Barcelona,Valencia,4,3,06/10/1940,-922636800.0
9,1940-41,2,Celta de Vigo,Espanyol,7,1,06/10/1940,-922636800.0
10,1940-41,2,Murcia,Atletico Aviacion,1,1,06/10/1940,-922636800.0
11,1940-41,2,Real Madrid,Hercules,5,3,06/10/1940,-922636800.0
12,1940-41,2,Real Oviedo,Sevilla,0,4,06/10/1940,-922636800.0
13,1940-41,3,Real Zaragoza,Barcelona,2,1,12/10/1940,-922118400.0
14,1940-41,3,Atletico Aviacion,Real Madrid,3,1,13/10/1940,-922032000.0
15,1940-41,3,Espanyol,Murcia,2,1,13/10/1940,-922032000.0
16,1940-41,3,Hercules,Athletic Club,1,0,13/10/1940,-922032000.0
17,1940-41,3,Real Oviedo,Celta de Vigo,4,3,13/10/1940,-922032000.0
18,1940-41,3,Sevilla,Valencia,10,3,13/10/1940,-922032000.0
19,1940-41,4,Athletic Club,Atletico Aviacion,0,5,20/10/1940,-921427200.0
20,1940-41,4,Barcelona,Hercules,3,2,20/10/1940,-921427200.0
21,1940-41,4,Celta de Vigo,Sevilla,2,2,20/10/1940,-921427200.0
22,1940-41,4,Murcia,Real Oviedo,1,2,20/10/1940,-921427200.0
23,1940-41,4,Real Madrid,Espanyol,4,1,20/10/1940,-921427200.0
24,1940-41,4,Valencia,Real Zaragoza,1,0,20/10/1940,-921427200.0
25,1940-41,5,Atletico Aviacion,Barcelona,4,4,27/10/1940,-920822400.0
26,1940-41,5,Celta de Vigo,Murcia,5,1,27/10/1940,-920822400.0
27,1940-41,5,Espanyol,Athletic Club,1,1,27/10/1940,-920822400.0
28,1940-41,5,Hercules,Valencia,0,2,27/10/1940,-920822400.0
29,1940-41,5,Real Oviedo,Real Madrid,0,2,27/10/1940,-920822400.0
30,1940-41,5,Sevilla,Real Zaragoza,4,1,27/10/1940,-920822400.0
31,1940-41,6,Athletic Club,Real Oviedo,2,1,03/11/1940,-920217600.0
32,1940-41,6,Barcelona,Espanyol,2,3,03/11/1940,-920217600.0
33,1940-41,6,Murcia,Sevilla,2,1,03/11/1940,-920217600.0
34,1940-41,6,Real Madrid,Celta de Vigo,3,1,03/11/1940,-920217600.0
35,1940-41,6,Valencia,Atletico Aviacion,3,1,03/11/1940,-920217600.0
36,1940-41,6,Real Zaragoza,Hercules,7,0,03/11/1940,-920217600.0
37,1940-41,7,Atletico Aviacion,Real Zaragoza,3,1,10/11/1940,-919612800.0
38,1940-41,7,Celta de Vigo,Athletic Club,1,2,10/11/1940,-919612800.0
39,1940-41,7,Espanyol,Valencia,2,1,10/11/1940,-919612800.0
40,1940-41,7,Murcia,Real Madrid,3,1,10/11/1940,-919612800.0
41,1940-41,7,Real Oviedo,Barcelona,3,1,10/11/1940,-919612800.0
42,1940-41,7,Sevilla,Hercules,8,3,10/11/1940,-919612800.0
43,1940-41,8,Athletic Club,Murcia,6,1,17/11/1940,-919008000.0
44,1940-41,8,Barcelona,Celta de Vigo,2,0,17/11/1940,-919008000.0
45,1940-41,8,Hercules,Atletico Aviacion,3,3,17/11/1940,-919008000.0
46,1940-41,8,Real Madrid,Sevilla,4,1,17/11/1940,-919008000.0
47,1940-41,8,Valencia,Real Oviedo,5,1,17/11/1940,-919008000.0
48,1940-41,8,Real Zaragoza,Espanyol,0,3,17/11/1940,-919008000.0
49,1940-41,9,Celta de Vigo,Valencia,6,2,24/11/1940,-918403200.0
50,1940-41,9,Espanyol,Hercules,1,2,24/11/1940,-918403200.0
51,1940-41,9,Murcia,Barcelona,1,3,24/11/1940,-918403200.0
52,1940-41,9,Real Madrid,Athletic Club,0,1,24/11/1940,-918403200.0
53,1940-41,9,Real Oviedo,Real Zaragoza,5,4,24/11/1940,-918403200.0
54,1940-41,9,Sevilla,Atletico Aviacion,1,1,24/11/1940,-918403200.0
55,1940-41,10,Atletico Aviacion,Espanyol,5,3,01/12/1940,-917798400.0
56,1940-41,10,Barcelona,Real Madrid,3,0,01/12/1940,-917798400.0
57,1940-41,10,Hercules,Real Oviedo,3,0,01/12/1940,-917798400.0
58,1940-41,10,Sevilla,Athletic Club,1,0,01/12/1940,-917798400.0
59,1940-41,10,Valencia,Murcia,3,3,01/12/1940,-917798400.0
60,1940-41,10,Real Zaragoza,Celta de Vigo,1,0,01/12/1940,-917798400.0
61,1940-41,11,Athletic Club,Barcelona,3,1,08/12/1940,-917193600.0
62,1940-41,11,Celta de Vigo,Hercules,2,0,08/12/1940,-917193600.0
63,1940-41,11,Espanyol,Sevilla,4,3,08/12/1940,-917193600.0
64,1940-41,11,Murcia,Real Zaragoza,1,0,08/12/1940,-917193600.0
65,1940-41,11,Real Madrid,Valencia,6,1,08/12/1940,-917193600.0
66,1940-41,11,Real Oviedo,Atletico Aviacion,4,3,08/12/1940,-917193600.0
67,1940-41,12,Athletic Club,Valencia,5,0,15/12/1940,-916588800.0
68,1940-41,12,Barcelona,Sevilla,4,0,15/12/1940,-916588800.0
69,1940-41,12,Celta de Vigo,Atletico Aviacion,0,2,15/12/1940,-916588800.0
70,1940-41,12,Murcia,Hercules,0,0,15/12/1940,-916588800.0
71,1940-41,12,Real Madrid,Real Zaragoza,6,0,15/12/1940,-916588800.0
72,1940-41,12,Real Oviedo,Espanyol,3,3,15/12/1940,-916588800.0
73,1940-41,13,Atletico Aviacion,Murcia,6,0,22/12/1940,-915984000.0
74,1940-41,13,Espanyol,Celta de Vigo,4,1,22/12/1940,-915984000.0
75,1940-41,13,Hercules,Real Madrid,0,3,22/12/1940,-915984000.0
76,1940-41,13,Sevilla,Real Oviedo,4,1,22/12/1940,-915984000.0
77,1940-41,13,Valencia,Barcelona,3,1,22/12/1940,-915984000.0
78,1940-41,13,Real Zaragoza,Athletic Club,2,2,22/12/1940,-915984000.0
79,1940-41,14,Athletic Club,Hercules,4,0,29/12/1940,-915379200.0
80,1940-41,14,Barcelona,Real Zaragoza,2,0,29/12/1940,-915379200.0
81,1940-41,14,Celta de Vigo,Real Oviedo,3,1,29/12/1940,-915379200.0
82,1940-41,14,Murcia,Espanyol,3,1,29/12/1940,-915379200.0
83,1940-41,14,Real Madrid,Atletico Aviacion,1,4,29/12/1940,-915379200.0
84,1940-41,14,Valencia,Sevilla,4,1,29/12/1940,-915379200.0
85,1940-41,15,Espanyol,Real Madrid,3,2,05/01/1941,-914774400.0
86,1940-41,15,Hercules,Barcelona,1,3,05/01/1941,-914774400.0
87,1940-41,15,Real Oviedo,Murcia,2,1,05/01/1941,-914774400.0
88,1940-41,15,Sevilla,Celta de Vigo,3,0,05/01/1941,-914774400.0
89,1940-41,15,Real Zaragoza,Valencia,1,2,05/01/1941,-914774400.0
90,1940-41,15,Atletico Aviacion,Athletic Club,1,1,06/01/1941,-914688000.0
91,1940-41,16,Athletic Club,Espanyol,6,2,19/01/1941,-913564800.0
92,1940-41,16,Barcelona,Atletico Aviacion,2,4,19/01/1941,-913564800.0
93,1940-41,16,Murcia,Celta de Vigo,3,0,19/01/1941,-913564800.0
94,1940-41,16,Valencia,Hercules,6,0,19/01/1941,-913564800.0
95,1940-41,16,Real Zaragoza,Sevilla,0,3,19/01/1941,-913564800.0
96,1940-41,16,Real Madrid,Real Oviedo,1,0,21/01/1941,-913392000.0
97,1940-41,17,Atletico Aviacion,Valencia,2,2,26/01/1941,-912960000.0
98,1940-41,17,Celta de Vigo,Real Madrid,1,2,26/01/1941,-912960000.0
99,1940-41,17,Espanyol,Barcelona,3,1,26/01/1941,-912960000.0
100,1940-41,17,Hercules,Real Zaragoza,1,0,26/01/1941,-912960000.0
101,1940-41,17,Real Oviedo,Athletic Club,0,2,26/01/1941,-912960000.0
102,1940-41,17,Sevilla,Murcia,3,2,26/01/1941,-912960000.0
103,1940-41,18,Athletic Club,Celta de Vigo,4,1,02/02/1941,-912355200.0
104,1940-41,18,Barcelona,Real Oviedo,7,0,02/02/1941,-912355200.0
105,1940-41,18,Hercules,Sevilla,1,0,02/02/1941,-912355200.0
106,1940-41,18,Real Madrid,Murcia,2,1,02/02/1941,-912355200.0
107,1940-41,18,Valencia,Espanyol,3,0,02/02/1941,-912355200.0
108,1940-41,18,Real Zaragoza,Atletico Aviacion,1,1,02/02/1941,-912355200.0
109,1940-41,19,Atletico Aviacion,Hercules,7,1,09/02/1941,-911750400.0
110,1940-41,19,Celta de Vigo,Barcelona,1,4,09/02/1941,-911750400.0
111,1940-41,19,Espanyol,Real Zaragoza,3,0,09/02/1941,-911750400.0
112,1940-41,19,Murcia,Athletic Club,1,3,09/02/1941,-911750400.0
113,1940-41,19,Real Oviedo,Valencia,3,3,09/02/1941,-911750400.0
114,1940-41,19,Sevilla,Real Madrid,5,4,09/02/1941,-911750400.0
115,1940-41,20,Athletic Club,Real Madrid,3,1,16/02/1941,-911145600.0
116,1940-41,20,Atletico Aviacion,Sevilla,3,1,16/02/1941,-911145600.0
117,1940-41,20,Barcelona,Murcia,3,0,16/02/1941,-911145600.0
118,1940-41,20,Hercules,Espanyol,3,2,16/02/1941,-911145600.0
119,1940-41,20,Valencia,Celta de Vigo,5,1,16/02/1941,-911145600.0
120,1940-41,20,Real Zaragoza,Real Oviedo,3,0,16/02/1941,-911145600.0
121,1940-41,21,Athletic Club,Sevilla,2,1,23/02/1941,-910540800.0
122,1940-41,21,Espanyol,Atletico Aviacion,2,3,23/02/1941,-910540800.0
123,1940-41,21,Murcia,Valencia,2,5,23/02/1941,-910540800.0
124,1940-41,21,Real Madrid,Barcelona,1,2,23/02/1941,-910540800.0
125,1940-41,21,Real Oviedo,Hercules,6,0,23/02/1941,-910540800.0
126,1940-41,21,Celta de Vigo,Real Zaragoza,1,0,30/03/1941,-907516800.0
127,1940-41,22,Atletico Aviacion,Real Oviedo,3,0,02/03/1941,-909936000.0
128,1940-41,22,Barcelona,Athletic Club,1,0,02/03/1941,-909936000.0
129,1940-41,22,Hercules,Celta de Vigo,0,5,02/03/1941,-909936000.0
130,1940-41,22,Sevilla,Espanyol,3,1,02/03/1941,-909936000.0
131,1940-41,22,Valencia,Real Madrid,1,1,02/03/1941,-909936000.0
132,1940-41,22,Real Zaragoza,Murcia,2,1,02/03/1941,-909936000.0
133,1941-42,1,Athletic Club,Espanyol,2,4,28/09/1941,-891792000.0
134,1941-42,1,Atletico Aviacion,Valencia,3,0,28/09/1941,-891792000.0
135,1941-42,1,Barcelona,Hercules,4,4,28/09/1941,-891792000.0
136,1941-42,1,Deportivo,Castellon,2,1,28/09/1941,-891792000.0
137,1941-42,1,Granada,Celta de Vigo,1,1,28/09/1941,-891792000.0
138,1941-42,1,Real Sociedad,Real Madrid,2,3,28/09/1941,-891792000.0
139,1941-42,1,Sevilla,Real Oviedo,10,0,28/09/1941,-891792000.0
140,1941-42,2,Castellon,Sevilla,1,1,05/10/1941,-891187200.0
141,1941-42,2,Celta de Vigo,Athletic Club,3,0,05/10/1941,-891187200.0
142,1941-42,2,Espanyol,Barcelona,5,2,05/10/1941,-891187200.0
143,1941-42,2,Hercules,Deportivo,4,2,05/10/1941,-891187200.0
144,1941-42,2,Real Madrid,Granada,5,2,05/10/1941,-891187200.0
145,1941-42,2,Real Oviedo,Atletico Aviacion,2,3,05/10/1941,-891187200.0
146,1941-42,2,Valencia,Real Sociedad,6,0,05/10/1941,-891187200.0
147,1941-42,3,Athletic Club,Real Madrid,1,0,12/10/1941,-890582400.0
148,1941-42,3,Atletico Aviacion,Real Sociedad,4,1,12/10/1941,-890582400.0
149,1941-42,3,Barcelona,Celta de Vigo,0,2,12/10/1941,-890582400.0
150,1941-42,3,Deportivo,Espanyol,2,0,12/10/1941,-890582400.0
151,1941-42,3,Granada,Valencia,1,2,12/10/1941,-890582400.0
152,1941-42,3,Real Oviedo,Castellon,4,4,12/10/1941,-890582400.0
153,1941-42,3,Sevilla,Hercules,7,2,12/10/1941,-890582400.0
154,1941-42,4,Castellon,Atletico Aviacion,2,4,19/10/1941,-889977600.0
155,1941-42,4,Celta de Vigo,Deportivo,2,1,19/10/1941,-889977600.0
156,1941-42,4,Espanyol,Sevilla,3,1,19/10/1941,-889977600.0
157,1941-42,4,Hercules,Real Oviedo,4,1,19/10/1941,-889977600.0
158,1941-42,4,Real Sociedad,Granada,1,1,19/10/1941,-889977600.0
159,1941-42,4,Real Madrid,Barcelona,4,3,19/10/1941,-889977600.0
160,1941-42,4,Valencia,Athletic Club,1,1,19/10/1941,-889977600.0
161,1941-42,5,Athletic Club,Real Sociedad,4,1,26/10/1941,-889372800.0
162,1941-42,5,Atletico Aviacion,Granada,3,0,26/10/1941,-889372800.0
163,1941-42,5,Barcelona,Valencia,2,4,26/10/1941,-889372800.0
164,1941-42,5,Castellon,Hercules,4,0,26/10/1941,-889372800.0
165,1941-42,5,Deportivo,Real Madrid,1,0,26/10/1941,-889372800.0
166,1941-42,5,Real Oviedo,Espanyol,1,3,26/10/1941,-889372800.0
167,1941-42,5,Sevilla,Celta de Vigo,2,2,26/10/1941,-889372800.0
168,1941-42,6,Celta de Vigo,Real Oviedo,2,1,02/11/1941,-888768000.0
169,1941-42,6,Espanyol,Castellon,2,3,02/11/1941,-888768000.0
170,1941-42,6,Granada,Athletic Club,1,3,02/11/1941,-888768000.0
171,1941-42,6,Hercules,Atletico Aviacion,2,2,02/11/1941,-888768000.0
172,1941-42,6,Real Sociedad,Barcelona,2,0,02/11/1941,-888768000.0
173,1941-42,6,Real Madrid,Sevilla,0,2,02/11/1941,-888768000.0
174,1941-42,6,Valencia,Deportivo,2,0,02/11/1941,-888768000.0
175,1941-42,7,Atletico Aviacion,Athletic Club,2,2,09/11/1941,-888163200.0
176,1941-42,7,Barcelona,Granada,4,0,09/11/1941,-888163200.0
177,1941-42,7,Castellon,Celta de Vigo,0,3,09/11/1941,-888163200.0
178,1941-42,7,Deportivo,Real Sociedad,3,0,09/11/1941,-888163200.0
179,1941-42,7,Hercules,Espanyol,1,1,09/11/1941,-888163200.0
180,1941-42,7,Real Oviedo,Real Madrid,2,2,09/11/1941,-888163200.0
181,1941-42,7,Sevilla,Valencia,4,1,09/11/1941,-888163200.0
182,1941-42,8,Athletic Club,Barcelona,6,3,16/11/1941,-887558400.0
183,1941-42,8,Celta de Vigo,Hercules,4,1,16/11/1941,-887558400.0
184,1941-42,8,Espanyol,Atletico Aviacion,5,0,16/11/1941,-887558400.0
185,1941-42,8,Granada,Deportivo,4,1,16/11/1941,-887558400.0
186,1941-42,8,Real Sociedad,Sevilla,2,1,16/11/1941,-887558400.0
187,1941-42,8,Real Madrid,Castellon,9,1,16/11/1941,-887558400.0
188,1941-42,8,Valencia,Real Oviedo,5,2,16/11/1941,-887558400.0
189,1941-42,9,Atletico Aviacion,Barcelona,5,4,23/11/1941,-886953600.0
190,1941-42,9,Castellon,Valencia,2,2,23/11/1941,-886953600.0
191,1941-42,9,Deportivo,Athletic Club,2,1,23/11/1941,-886953600.0
192,1941-42,9,Espanyol,Celta de Vigo,3,1,23/11/1941,-886953600.0
193,1941-42,9,Hercules,Real Madrid,1,2,23/11/1941,-886953600.0
194,1941-42,9,Real Oviedo,Real Sociedad,3,1,23/11/1941,-886953600.0
195,1941-42,9,Sevilla,Granada,3,0,23/11/1941,-886953600.0
196,1941-42,10,Athletic Club,Sevilla,1,1,30/11/1941,-886348800.0
197,1941-42,10,Barcelona,Deportivo,2,1,30/11/1941,-886348800.0
198,1941-42,10,Celta de Vigo,Atletico Aviacion,0,2,30/11/1941,-886348800.0
199,1941-42,10,Granada,Real Oviedo,8,0,30/11/1941,-886348800.0
200,1941-42,10,Real Sociedad,Castellon,3,0,30/11/1941,-886348800.0
201,1941-42,10,Real Madrid,Espanyol,1,1,30/11/1941,-886348800.0
202,1941-42,10,Valencia,Hercules,7,1,30/11/1941,-886348800.0
203,1941-42,11,Atletico Aviacion,Deportivo,0,0,07/12/1941,-885744000.0
204,1941-42,11,Castellon,Granada,3,2,07/12/1941,-885744000.0
205,1941-42,11,Celta de Vigo,Real Madrid,2,4,07/12/1941,-885744000.0
206,1941-42,11,Espanyol,Valencia,0,1,07/12/1941,-885744000.0
207,1941-42,11,Hercules,Real Sociedad,3,1,07/12/1941,-885744000.0
208,1941-42,11,Real Oviedo,Athletic Club,2,1,07/12/1941,-885744000.0
209,1941-42,11,Sevilla,Barcelona,1,2,07/12/1941,-885744000.0
210,1941-42,12,Athletic Club,Castellon,2,2,14/12/1941,-885139200.0
211,1941-42,12,Atletico Aviacion,Real Madrid,2,0,14/12/1941,-885139200.0
212,1941-42,12,Barcelona,Real Oviedo,6,3,14/12/1941,-885139200.0
213,1941-42,12,Deportivo,Sevilla,2,1,14/12/1941,-885139200.0
214,1941-42,12,Granada,Hercules,7,2,14/12/1941,-885139200.0
215,1941-42,12,Real Sociedad,Espanyol,1,2,14/12/1941,-885139200.0
216,1941-42,12,Valencia,Celta de Vigo,7,3,14/12/1941,-885139200.0
217,1941-42,13,Castellon,Barcelona,1,1,21/12/1941,-884534400.0
218,1941-42,13,Celta de Vigo,Real Sociedad,6,1,21/12/1941,-884534400.0
219,1941-42,13,Espanyol,Granada,1,1,21/12/1941,-884534400.0
220,1941-42,13,Hercules,Athletic Club,3,1,21/12/1941,-884534400.0
221,1941-42,13,Real Madrid,Valencia,5,3,21/12/1941,-884534400.0
222,1941-42,13,Real Oviedo,Deportivo,1,1,21/12/1941,-884534400.0
223,1941-42,13,Sevilla,Atletico Aviacion,1,0,21/12/1941,-884534400.0
224,1941-42,14,Castellon,Deportivo,1,0,04/01/1942,-883324800.0
225,1941-42,14,Celta de Vigo,Granada,3,3,04/01/1942,-883324800.0
226,1941-42,14,Espanyol,Athletic Club,1,1,04/01/1942,-883324800.0
227,1941-42,14,Hercules,Barcelona,3,1,04/01/1942,-883324800.0
228,1941-42,14,Real Madrid,Real Sociedad,6,4,04/01/1942,-883324800.0
229,1941-42,14,Real Oviedo,Sevilla,4,0,04/01/1942,-883324800.0
230,1941-42,14,Valencia,Atletico Aviacion,0,1,04/01/1942,-883324800.0
231,1941-42,15,Athletic Club,Celta de Vigo,10,0,11/01/1942,-882720000.0
232,1941-42,15,Atletico Aviacion,Real Oviedo,0,2,11/01/1942,-882720000.0
233,1941-42,15,Barcelona,Espanyol,1,2,11/01/1942,-882720000.0
234,1941-42,15,Deportivo,Hercules,3,1,11/01/1942,-882720000.0
235,1941-42,15,Granada,Real Madrid,3,1,11/01/1942,-882720000.0
236,1941-42,15,Real Sociedad,Valencia,0,3,11/01/1942,-882720000.0
237,1941-42,15,Sevilla,Castellon,4,1,11/01/1942,-882720000.0
238,1941-42,16,Castellon,Real Oviedo,4,0,18/01/1942,-882115200.0
239,1941-42,16,Celta de Vigo,Barcelona,1,0,18/01/1942,-882115200.0
240,1941-42,16,Espanyol,Deportivo,1,2,18/01/1942,-882115200.0
241,1941-42,16,Hercules,Sevilla,1,0,18/01/1942,-882115200.0
242,1941-42,16,Real Sociedad,Atletico Aviacion,1,2,18/01/1942,-882115200.0
243,1941-42,16,Real Madrid,Athletic Club,3,2,18/01/1942,-882115200.0
244,1941-42,16,Valencia,Granada,5,0,18/01/1942,-882115200.0
245,1941-42,17,Athletic Club,Valencia,2,3,25/01/1942,-881510400.0
246,1941-42,17,Atletico Aviacion,Castellon,4,4,25/01/1942,-881510400.0
247,1941-42,17,Barcelona,Real Madrid,0,2,25/01/1942,-881510400.0
248,1941-42,17,Deportivo,Celta de Vigo,4,0,25/01/1942,-881510400.0
249,1941-42,17,Granada,Real Sociedad,3,1,25/01/1942,-881510400.0
250,1941-42,17,Real Oviedo,Hercules,2,0,25/01/1942,-881510400.0
251,1941-42,17,Sevilla,Espanyol,6,0,25/01/1942,-881510400.0
252,1941-42,18,Celta de Vigo,Sevilla,1,1,01/02/1942,-880905600.0
253,1941-42,18,Espanyol,Real Oviedo,1,1,01/02/1942,-880905600.0
254,1941-42,18,Granada,Atletico Aviacion,0,1,01/02/1942,-880905600.0
255,1941-42,18,Hercules,Castellon,0,1,01/02/1942,-880905600.0
256,1941-42,18,Real Sociedad,Athletic Club,0,1,01/02/1942,-880905600.0
257,1941-42,18,Real Madrid,Deportivo,3,0,01/02/1942,-880905600.0
258,1941-42,18,Valencia,Barcelona,4,2,01/02/1942,-880905600.0
259,1941-42,19,Athletic Club,Granada,1,0,08/02/1942,-880300800.0
260,1941-42,19,Atletico Aviacion,Hercules,5,1,08/02/1942,-880300800.0
261,1941-42,19,Barcelona,Real Sociedad,4,2,08/02/1942,-880300800.0
262,1941-42,19,Castellon,Espanyol,2,0,08/02/1942,-880300800.0
263,1941-42,19,Deportivo,Valencia,0,3,08/02/1942,-880300800.0
264,1941-42,19,Real Oviedo,Celta de Vigo,2,1,08/02/1942,-880300800.0
265,1941-42,19,Sevilla,Real Madrid,2,2,08/02/1942,-880300800.0
266,1941-42,20,Athletic Club,Atletico Aviacion,6,0,15/02/1942,-879699600.0
267,1941-42,20,Celta de Vigo,Castellon,1,2,15/02/1942,-879699600.0
268,1941-42,20,Espanyol,Hercules,2,0,15/02/1942,-879699600.0
269,1941-42,20,Granada,Barcelona,6,0,15/02/1942,-879699600.0
270,1941-42,20,Real Sociedad,Deportivo,3,2,15/02/1942,-879699600.0
271,1941-42,20,Real Madrid,Real Oviedo,1,1,15/02/1942,-879699600.0
272,1941-42,20,Valencia,Sevilla,8,1,15/02/1942,-879699600.0
273,1941-42,21,Atletico Aviacion,Espanyol,2,0,22/02/1942,-879094800.0
274,1941-42,21,Barcelona,Athletic Club,1,2,22/02/1942,-879094800.0
275,1941-42,21,Deportivo,Granada,1,4,22/02/1942,-879094800.0
276,1941-42,21,Hercules,Celta de Vigo,1,3,22/02/1942,-879094800.0
277,1941-42,21,Real Oviedo,Valencia,1,1,22/02/1942,-879094800.0
278,1941-42,21,Sevilla,Real Sociedad,1,0,22/02/1942,-879094800.0
279,1941-42,21,Castellon,Real Madrid,0,3,24/02/1942,-878922000.0
280,1941-42,22,Athletic Club,Deportivo,0,0,01/03/1942,-878490000.0
281,1941-42,22,Barcelona,Atletico Aviacion,5,1,01/03/1942,-878490000.0
282,1941-42,22,Celta de Vigo,Espanyol,4,3,01/03/1942,-878490000.0
283,1941-42,22,Granada,Sevilla,3,2,01/03/1942,-878490000.0
284,1941-42,22,Real Sociedad,Real Oviedo,0,3,01/03/1942,-878490000.0
285,1941-42,22,Real Madrid,Hercules,2,1,01/03/1942,-878490000.0
286,1941-42,22,Valencia,Castellon,6,2,01/03/1942,-878490000.0
287,1941-42,23,Atletico Aviacion,Celta de Vigo,2,0,08/03/1942,-877885200.0
288,1941-42,23,Deportivo,Barcelona,1,0,08/03/1942,-877885200.0
289,1941-42,23,Espanyol,Real Madrid,0,0,08/03/1942,-877885200.0
290,1941-42,23,Hercules,Valencia,1,3,08/03/1942,-877885200.0
291,1941-42,23,Real Oviedo,Granada,3,1,08/03/1942,-877885200.0
292,1941-42,23,Sevilla,Athletic Club,2,1,08/03/1942,-877885200.0
293,1941-42,23,Castellon,Real Sociedad,5,0,09/03/1942,-877798800.0
294,1941-42,24,Athletic Club,Real Oviedo,2,0,22/03/1942,-876675600.0
295,1941-42,24,Barcelona,Sevilla,6,2,22/03/1942,-876675600.0
296,1941-42,24,Deportivo,Atletico Aviacion,2,1,22/03/1942,-876675600.0
297,1941-42,24,Granada,Castellon,7,3,22/03/1942,-876675600.0
298,1941-42,24,Real Sociedad,Hercules,2,1,22/03/1942,-876675600.0
299,1941-42,24,Real Madrid,Celta de Vigo,2,3,22/03/1942,-876675600.0
300,1941-42,24,Valencia,Espanyol,2,1,22/03/1942,-876675600.0
301,1941-42,25,Castellon,Athletic Club,4,0,29/03/1942,-876070800.0
302,1941-42,25,Celta de Vigo,Valencia,3,3,29/03/1942,-876070800.0
303,1941-42,25,Espanyol,Real Sociedad,8,0,29/03/1942,-876070800.0
304,1941-42,25,Hercules,Granada,2,2,29/03/1942,-876070800.0
305,1941-42,25,Real Madrid,Atletico Aviacion,4,1,29/03/1942,-876070800.0
306,1941-42,25,Real Oviedo,Barcelona,1,1,29/03/1942,-876070800.0
307,1941-42,25,Sevilla,Deportivo,2,2,29/03/1942,-876070800.0
308,1941-42,26,Athletic Club,Hercules,2,2,05/04/1942,-875466000.0
309,1941-42,26,Atletico Aviacion,Sevilla,0,0,05/04/1942,-875466000.0
310,1941-42,26,Barcelona,Castellon,3,1,05/04/1942,-875466000.0
311,1941-42,26,Deportivo,Real Oviedo,1,0,05/04/1942,-875466000.0
312,1941-42,26,Granada,Espanyol,4,0,05/04/1942,-875466000.0
313,1941-42,26,Real Sociedad,Celta de Vigo,2,2,05/04/1942,-875466000.0
314,1941-42,26,Valencia,Real Madrid,3,1,05/04/1942,-875466000.0
315,1942-43,1,Athletic Club,Betis,5,0,27/09/1942,-860346000.0
316,1942-43,1,Espanyol,Celta de Vigo,1,0,27/09/1942,-860346000.0
317,1942-43,1,Granada,Deportivo,1,2,27/09/1942,-860346000.0
318,1942-43,1,Real Madrid,Barcelona,3,0,27/09/1942,-860346000.0
319,1942-43,1,Real Oviedo,Castellon,4,1,27/09/1942,-860346000.0
320,1942-43,1,Sevilla,Real Zaragoza,6,0,27/09/1942,-860346000.0
321,1942-43,1,Valencia,Atletico Aviacion,3,0,27/09/1942,-860346000.0
322,1942-43,2,Atletico Aviacion,Espanyol,2,3,04/10/1942,-859741200.0
323,1942-43,2,Barcelona,Valencia,1,2,04/10/1942,-859741200.0
324,1942-43,2,Betis,Sevilla,2,5,04/10/1942,-859741200.0
325,1942-43,2,Castellon,Athletic Club,2,2,04/10/1942,-859741200.0
326,1942-43,2,Celta de Vigo,Real Oviedo,2,0,04/10/1942,-859741200.0
327,1942-43,2,Deportivo,Real Madrid,1,2,04/10/1942,-859741200.0
328,1942-43,2,Real Zaragoza,Granada,2,3,04/10/1942,-859741200.0
329,1942-43,3,Athletic Club,Celta de Vigo,4,0,11/10/1942,-859136400.0
330,1942-43,3,Barcelona,Deportivo,1,1,11/10/1942,-859136400.0
331,1942-43,3,Granada,Betis,6,2,11/10/1942,-859136400.0
332,1942-43,3,Real Madrid,Real Zaragoza,2,1,11/10/1942,-859136400.0
333,1942-43,3,Real Oviedo,Atletico Aviacion,2,1,11/10/1942,-859136400.0
334,1942-43,3,Sevilla,Castellon,4,1,11/10/1942,-859136400.0
335,1942-43,3,Valencia,Espanyol,3,0,11/10/1942,-859136400.0
336,1942-43,4,Atletico Aviacion,Athletic Club,2,3,18/10/1942,-858531600.0
337,1942-43,4,Betis,Real Madrid,3,1,18/10/1942,-858531600.0
338,1942-43,4,Castellon,Granada,3,2,18/10/1942,-858531600.0
339,1942-43,4,Celta de Vigo,Sevilla,1,0,18/10/1942,-858531600.0
340,1942-43,4,Deportivo,Valencia,2,2,18/10/1942,-858531600.0
341,1942-43,4,Espanyol,Real Oviedo,5,0,18/10/1942,-858531600.0
342,1942-43,4,Real Zaragoza,Barcelona,1,1,18/10/1942,-858531600.0
343,1942-43,5,Athletic Club,Espanyol,2,1,25/10/1942,-857926800.0
344,1942-43,5,Barcelona,Betis,4,1,25/10/1942,-857926800.0
345,1942-43,5,Deportivo,Real Zaragoza,3,1,25/10/1942,-857926800.0
